line,bins,fitting_window,bin_width,mu,sigma,c,d,A,mu_err,sigma_err,c_err,d_err,A_err,exact_mu,deviation_in_centroid,A_over_A_err,snr
198,100,3,0.6060606060605949,198.7136300847912,1.3059812703170066,-1288.379191155688,300179.777043568,46766.08016460262,0.07360742436913607,0.10365738727588349,330.77746415505095,64391.00730278165,8014.627243713899,198.394,4.342362031148696,5.835091108108939,334551.03136583115
198,100,4,0.6060606060605949,198.59733960363485,1.2390304733424264,-772.6245493794801,198991.83654545512,40300.696563353755,0.03466323170971667,0.046067856919302694,67.4465848586242,13217.71805683382,2057.5435508397195,198.394,5.866146738356353,19.586801235340236,310565.4375812309
198,100,5,0.6060606060605949,198.58741077499954,1.2954031091127058,-751.0635589665555,194296.3056769177,43080.872347798235,0.038885253039702715,0.046609329558341676,46.570407604923275,9169.736390601105,1837.6122254713691,198.394,4.973884953302428,23.44394086556944,321099.10940733383
198,100,8,0.6060606060605949,198.5439400441624,1.4007080425028218,-653.3582652522214,174251.7630359523,47930.11250529049,0.04999249215857578,0.05513355615674235,28.586786909562708,5649.961469746624,1963.6277825517793,198.394,2.999251241302345,24.4089602577349,338689.0025697469
198,100,10,0.6060606060605949,198.5370576727052,1.4109455877509345,-638.6847805817457,171283.65200197845,48378.69106450751,0.04521516543144538,0.048841287437137386,19.042872907525386,3766.825400356888,1677.2686286417645,198.394,3.163931201846407,28.84373453266344,340270.2098069737
198,200,3,0.30150753768845107,198.58804801448778,1.1373623851636723,-339.6024015309899,90580.75006079664,17342.191184108982,0.06499038033632214,0.09409655775493335,114.6114854561139,22381.111835678108,2484.156272578297,198.394,2.98579595139446,6.9811192538662565,143694.27662863478
198,200,4,0.30150753768845107,198.6061472410497,1.242113899284235,-393.71547192821026,100813.68723070795,20285.702012178943,0.03746161238557375,0.04898321948275621,34.25787766411344,6718.3200728728525,1072.7103760512553,198.394,5.663056861145757,18.91069804587186,155411.29313896515
198,200,5,0.30150753768845107,198.5939716943865,1.2860533266651066,-378.8161131363632,97696.54191537507,21354.19657845968,0.036823115059839956,0.04460663592682529,23.414640238621693,4608.03859947313,890.8390169485953,198.394,5.4306023284976925,23.97088157589296,159451.71247570676
198,200,8,0.30150753768845107,198.5492814997906,1.3884643528474412,-327.87053014554164,87268.0371781604,23694.6862425376,0.03833642643342701,0.042364901392457556,11.379180968332006,2248.7713672621508,755.1967887191046,198.394,4.0504949009851865,31.375512444546207,167962.78934737697
198,200,10,0.30150753768845107,198.54051214069327,1.4077919428955057,-319.2228434446574,85498.22191711888,24121.921414138535,0.03673327683372417,0.0396362900257261,7.621268073997357,1507.5915466737442,678.8016302317591,198.394,3.9885399104593584,35.53603930783539,169470.28135863194
198,400,3,0.15037593984962427,198.6175702682236,1.2028511427302158,-206.16984180750933,52324.08961712131,9548.267535569328,0.08301415099967469,0.12070202551038375,71.94312909288566,14034.230992304681,1708.6064455327512,198.394,2.6931585221473004,5.588336366477966,75298.99386915506
198,400,4,0.15037593984962427,198.59929219432152,1.2477110873003419,-191.52595973094208,49326.88988681937,10114.285697910438,0.049580985877674524,0.06555269356424281,23.341376167130367,4575.264167139256,725.5248319936221,198.394,4.140542804614842,13.94064717277568,77498.72068333044
198,400,5,0.15037593984962427,198.59804088667534,1.2967479195912543,-192.7750112591733,49480.36210809745,10739.163700816316,0.04227430176124332,0.05112410310928006,13.084149924101055,2575.074847151368,508.0742002582873,198.394,4.826593892140695,21.13699868121014,79856.85420182695
198,400,8,0.15037593984962427,198.5484505607449,1.390169289844872,-163.60764997286765,43544.69183753217,11815.43585291751,0.03964939658702228,0.04378355071943351,5.795916768690858,1145.4363764057691,388.1939259955296,198.394,3.8954075985974694,30.436941594633748,83762.93606174935
198,400,10,0.15037593984962427,198.53824258753,1.4099212175997184,-158.42219874400521,42487.76930082845,12035.46837822643,0.04014188647099697,0.043359085159264926,4.208657771081413,832.5034487047421,370.654243848982,198.394,3.5933186058459072,32.470877044996456,84539.27624340741
438,50,3,1.2244897959183731,439.4503372364619,1.2430182505064185,-7.0511864447433e-21,13795.348980301023,5721.322184788304,inf,inf,inf,inf,inf,438.634,0.0,0.0,62569.00240307601
438,50,4,1.2244897959183731,439.41828932121757,1.3666540653780215,-4.3471153301887985e-15,13621.204668519775,6786.807514775107,0.2058400443640732,0.30928558072193224,80.22445545476509,34872.529177878016,2650.393771997563,438.634,3.8101882636129316,2.5606789400429317,68146.57293268763
438,50,5,1.2244897959183731,439.48009277584316,1.518397408342213,-34.423876593655386,28539.383247258516,8222.360240346565,0.10364633810184899,0.14240870431950503,21.99406761063625,9562.766800574493,1071.9810145976091,438.634,8.163267427853805,7.670248006615119,75008.37225416844
438,50,8,1.2244897959183731,439.4997690865162,1.562327450245342,-41.01291708475613,31397.932555948224,8546.333811317361,0.07600228988190497,0.08766468031434327,7.271254551919377,3173.217799272956,531.0732837641111,438.634,11.391355284971779,16.092569655816877,76471.8233110757
438,50,10,1.2244897959183731,439.5156751150147,1.6098258619845205,-46.16633822855532,33622.773057875704,8902.545950040982,0.0672964612223001,0.0739731837406866,4.117770675176807,1799.4883849956566,421.1494506198341,438.634,13.101359254274001,21.138685891524975,78049.23689835523
438,100,3,0.6060606060606233,439.7107113580371,1.5245402296155282,-81.54999999999941,42328.70681663479,4837.5643580923,1.0044908015245047,1.254749651282171,470.24700423922656,204683.80599817232,11959.518918857279,438.634,1.0718976783092093,0.4044948957323548,40476.58381843131
438,100,4,0.6060606060606233,439.4939874428222,1.422632503405795,-11.917950360891982,11919.547518572854,3746.2969811858857,0.18380266178382565,0.2703357116149974,44.99107861618042,19558.16777565189,1415.017017750392,438.634,4.678862832974692,2.647527863051277,35619.7346775661
438,100,5,0.6060606060606233,439.5544931691375,1.5374381983599872,-29.597379967772472,19595.067398406096,4381.799996757761,0.08410789351343939,0.12059935322722108,11.450642181077853,4975.021917150134,524.9995584958579,438.634,10.944194779892063,8.346292727010612,38522.65944319344
438,100,8,0.6060606060606233,439.51816588567027,1.5005966750008402,-20.673570892870266,15709.275230160467,4140.754441136556,0.07300797321576777,0.08298656089385234,3.406339452011824,1487.1996380871328,248.09869833153272,438.634,12.110538708658472,16.68994827051971,37448.08065710589
438,100,10,0.6060606060606233,439.5340032920859,1.5352496901646817,-23.57777645410812,16969.787569871605,4274.661310946043,0.06904172543930402,0.07591289310993089,2.3148414827237342,1011.5875632922155,217.56406833958783,438.634,13.035643103634621,19.64782761955839,38048.77944322156
